Peripheral,Function,Assignment,Pin Number,Direction,Remarks,Comments
Clock generator,XTAL,P37/XTAL,20,O,,""
Clock generator,CLKOUT25M,Not assigned,Not assigned,None,,""
Clock generator,CLKOUT,Not assigned,Not assigned,None,,""
Clock generator,XCOUT,Not assigned,Not assigned,None,,""
Clock generator,XCIN,Not assigned,Not assigned,None,,""
Clock generator,BCLK,Not assigned,Not assigned,None,,""
Clock generator,SDCLK,Not assigned,Not assigned,None,,""
Clock generator,EXTAL,P36/EXTAL,22,I,,""
Clock frequency accuracy measurement circuit,CACREF,Not assigned,Not assigned,None,,""
Operating mode control,MD,Not assigned,Not assigned,None,,""
Operating mode control,UB,PC7/UB/A23/CS0#/MTIOC3A/MTCLKB/TMO2/PO31/TOC0/CACREF/GTIOC3A/TXD8/SMOSI8/SSDA8/SMOSI10/SSDA10/TXD10/MISOA-A/ET0_COL/MMC_D7-A/IRQ14,60,I,,""
Operating mode control,UPSEL,P35/UPSEL/NMI,24,I,,""
System control,EMLE,EMLE,10,I,,""
System control,RES#,RES#,19,I,,""
On-chip emulator,TMS,P31/TMS/MTIOC4D/TMCI2/PO9/RTCIC1/CTS1#/RTS1#/SS1#/SSLB0-A/ET1_MDC/PMGI1_MDC/IRQ1,28,I,,""
On-chip emulator,TRCLK,Not assigned,Not assigned,None,,""
On-chip emulator,TRSYNC1,Not assigned,Not assigned,None,,""
On-chip emulator,TRDATA5,Not assigned,Not assigned,None,,""
On-chip emulator,TRDATA4,Not assigned,Not assigned,None,,""
On-chip emulator,TRDATA7,Not assigned,Not assigned,None,,""
On-chip emulator,TRDATA6,Not assigned,Not assigned,None,,""
On-chip emulator,TRDATA1,Not assigned,Not assigned,None,,""
On-chip emulator,TRDATA0,Not assigned,Not assigned,None,,""
On-chip emulator,TRDATA3,Not assigned,Not assigned,None,,""
On-chip emulator,TRDATA2,Not assigned,Not assigned,None,,""
On-chip emulator,TRSYNC,Not assigned,Not assigned,None,,""
On-chip emulator,FINED,MD/FINED,16,IO,,""
On-chip emulator,TRST#,P34/TRST#/MTIOC0A/TMCI3/PO12/POE10#/SCK6/SCK0/ET0_LINKSTA/IRQ4,25,I,,""
On-chip emulator,TCK,P27/TCK/CS7#/MTIOC2B/TMCI3/PO7/SCK1/RSPCKB-A/ET1_WOL,30,I,,""
On-chip emulator,TDI,P30/TDI/MTIOC4B/TMRI3/PO8/RTCIC0/POE8#/RXD1/SMISO1/SSCL1/MISOB-A/ET1_MDIO/PMGI1_MDIO/IRQ0,29,I,,""
On-chip emulator,TDO,P26/TDO/CS6#/MTIOC2A/TMO1/PO6/TXD1/SMOSI1/SSDA1/CTS3#/RTS3#/SS3#/MOSIB-A/ET1_EXOUT,31,O,,""
Buses,A0,Not assigned,Not assigned,None,,""
Buses,A1,Not assigned,Not assigned,None,,""
Buses,A2,Not assigned,Not assigned,None,,""
Buses,A3,Not assigned,Not assigned,None,,""
Buses,A4,Not assigned,Not assigned,None,,""
Buses,A5,Not assigned,Not assigned,None,,""
Buses,A6,Not assigned,Not assigned,None,,""
Buses,A7,Not assigned,Not assigned,None,,""
Buses,A8,Not assigned,Not assigned,None,,""
Buses,A9,Not assigned,Not assigned,None,,""
Buses,RD#,Not assigned,Not assigned,None,,""
Buses,D0,Not assigned,Not assigned,None,,""
Buses,D1,Not assigned,Not assigned,None,,""
Buses,D2,Not assigned,Not assigned,None,,""
Buses,D3,Not assigned,Not assigned,None,,""
Buses,D4,Not assigned,Not assigned,None,,""
Buses,D5,Not assigned,Not assigned,None,,""
Buses,D6,Not assigned,Not assigned,None,,""
Buses,D7,Not assigned,Not assigned,None,,""
Buses,D8,Not assigned,Not assigned,None,,""
Buses,D9,Not assigned,Not assigned,None,,""
Buses,WR#,Not assigned,Not assigned,None,,""
Buses,RAS#,Not assigned,Not assigned,None,,""
Buses,CKE,Not assigned,Not assigned,None,,""
Buses,D10,Not assigned,Not assigned,None,,""
Buses,D12,Not assigned,Not assigned,None,,""
Buses,D11,Not assigned,Not assigned,None,,""
Buses,D14,Not assigned,Not assigned,None,,""
Buses,D13,Not assigned,Not assigned,None,,""
Buses,D15,Not assigned,Not assigned,None,,""
Buses,SDCS#,Not assigned,Not assigned,None,,""
Buses,ALE,Not assigned,Not assigned,None,,""
Buses,WAIT#,Not assigned,Not assigned,None,,""
Buses,BC0#,Not assigned,Not assigned,None,,""
Buses,WR1#,Not assigned,Not assigned,None,,""
Buses,BC1#,Not assigned,Not assigned,None,,""
Buses,A10,Not assigned,Not assigned,None,,""
Buses,A11,Not assigned,Not assigned,None,,""
Buses,A12,Not assigned,Not assigned,None,,""
Buses,A13,Not assigned,Not assigned,None,,""
Buses,A14,Not assigned,Not assigned,None,,""
Buses,A15,Not assigned,Not assigned,None,,""
