PIN | NAME
----|-----
1 | AVSS0
2 | P05/SSILRCK1/IRQ13/DA1
3 | AVCC1
4 | P03/SSIDATA1/IRQ11/DA0
5 | AVSS1
6 | P02/TMCI1/SCK6/SSIBCK1/IRQ10/AN120
7 | P01/TMCI0/RXD6/SMISO6/SSCL6/SSIBCK0/IRQ9/AN119
8 | P00/TMRI0/TXD6/SMOSI6/SSDA6/AUDIO_CLK/IRQ8/AN118
9 | PF5/WAIT#/SSILRCK0/IRQ4
10 | EMLE
11 | PJ5/POE8#/CTS2#/RTS2#/SS2#/SSIRXD0/EPLSOUT0
12 | VSS
13 | PJ3/EDACK1/MTIOC3C/CTS6#/RTS6#/SS6#/CTS0#/RTS0#/SS0#/SSITXD0/ET0_EXOUT
14 | VCL
15 | VBATT
16 | MD/FINED
17 | XCIN
18 | XCOUT
19 | RES#
20 | P37/XTAL
21 | VSS
22 | P36/EXTAL
23 | VCC
24 | P35/UPSEL/NMI
25 | P34/TRST#/MTIOC0A/TMCI3/PO12/POE10#/SCK6/SCK0/ET0_LINKSTA/IRQ4
26 | P33/EDREQ1/MTIOC0D/TIOCD0/TMRI3/PO11/POE4#/POE11#/RXD6/SMISO6/SSCL6/RXD0/SMISO0/SSCL0/CRX0/PCKO/IRQ3
27 | P32/MTIOC0C/TIOCC0/TMO3/PO10/RTCIC2/RTCOUT/POE0#/POE10#/TXD6/SMOSI6/SSDA6/TXD0/SMOSI0/SSDA0/CTX0/USB0_VBUSEN/VSYNC/IRQ2
28 | P31/TMS/MTIOC4D/TMCI2/PO9/RTCIC1/CTS1#/RTS1#/SS1#/SSLB0-A/ET1_MDC/PMGI1_MDC/IRQ1
29 | P30/TDI/MTIOC4B/TMRI3/PO8/RTCIC0/POE8#/RXD1/SMISO1/SSCL1/MISOB-A/ET1_MDIO/PMGI1_MDIO/IRQ0
30 | P27/TCK/CS7#/MTIOC2B/TMCI3/PO7/SCK1/RSPCKB-A/ET1_WOL
31 | P26/TDO/CS6#/MTIOC2A/TMO1/PO6/TXD1/SMOSI1/SSDA1/CTS3#/RTS3#/SS3#/MOSIB-A/ET1_EXOUT
32 | P25/CLKOUT/CS5#/EDACK1/MTIOC4C/MTCLKB/TIOCA4/PO5/RXD3/SMISO3/SSCL3/SSIDATA1/SDHI_CD/HSYNC/ADTRG0#
33 | P24/CS4#/EDREQ1/MTIOC4A/MTCLKA/TIOCB4/TMRI1/PO4/SCK3/USB0_VBUSEN/SSIBCK1/SDHI_WP/PIXCLK
34 | P23/EDACK0/MTIOC3D/MTCLKD/TIOCD3/PO3/GTIOC0A/TXD3/SMOSI3/SSDA3/CTS0#/RTS0#/SS0#/CTX1/SSIBCK0/SDHI_D1-C/PIXD7
35 | P22/EDREQ0/MTIOC3B/MTCLKC/TIOCC3/TMO0/PO2/GTIOC1A/SCK0/USB0_OVRCURB/AUDIO_CLK/SDHI_D0-C/PIXD6
36 | P21/MTIOC1B/MTIOC4A/TIOCA3/TMCI0/PO1/GTIOC2A/RXD0/SMISO0/SSCL0/SCL1/USB0_EXICEN/SSILRCK0/SDHI_CLK-C/PIXD5/IRQ9
37 | P20/MTIOC1A/TIOCB3/TMRI0/PO0/TXD0/SMOSI0/SSDA0/SDA1/USB0_ID/SSIRXD0/SDHI_CMD-C/PIXD4/IRQ8
38 | P17/MTIOC3A/MTIOC3B/MTIOC4B/TIOCB0/TCLKD/TMO1/PO15/POE8#/GTIOC0B/SCK1/TXD3/SMOSI3/SSDA3/SDA2/SSITXD0/EPLSOUT0/SDHI_D3-C/PIXD3/IRQ7/ADTRG1#
39 | P87/MTIOC4C/TIOCA2/GTIOC1B/SMOSI10/SSDA10/TXD10/EPLSOUT1/SDHI_D2-C/PIXD2
40 | P16/MTIOC3C/MTIOC3D/TIOCB1/TCLKC/TMO2/PO14/RTCOUT/TXD1/SMOSI1/SSDA1/RXD3/SMISO3/SSCL3/SCL2/USB0_VBUSEN/USB0_VBUS/USB0_OVRCURB/IRQ6/ADTRG0#
41 | P86/MTIOC4D/TIOCA0/GTIOC2B/SMISO10/SSCL10/RXD10/PIXD1
