timestamp_ms,enc0,enc1,enc2,enc3
0.000,0,0,0,0
0.050,0,0,0,0
0.100,0,0,0,0
0.150,0,0,0,0
0.200,0,0,0,0
0.250,0,0,0,0
0.300,0,0,0,0
0.350,0,0,0,0
0.400,0,0,0,0
0.450,1,1,1,1
0.500,1,1,1,1
0.550,1,1,1,1
0.600,1,1,1,1
0.650,1,1,1,1
0.700,1,1,1,1
0.750,1,1,1,1
0.800,1,1,1,1
0.850,0,0,0,0
0.900,0,0,0,0
0.950,0,0,0,0
1.000,0,0,0,0
1.050,0,0,0,0
1.100,0,0,0,0
1.150,0,0,0,0
1.200,0,0,0,0
1.250,0,0,0,0
1.300,1,1,1,1
1.350,1,1,1,1
1.400,1,1,1,1
1.450,1,1,1,1
1.500,1,1,1,1
1.550,1,1,1,1
1.600,1,1,1,1
1.650,1,1,1,1
1.700,0,0,0,0
1.750,0,0,0,0
1.800,0,0,0,0
1.850,0,0,0,0
1.900,0,0,0,0
1.950,0,0,0,0
2.000,0,0,0,0
2.050,0,0,0,0
2.100,1,1,1,1
2.150,1,1,1,1
2.200,1,1,1,1
2.250,1,1,1,1
2.300,1,1,1,1
2.350,1,1,1,1
2.400,1,1,1,1
2.450,1,1,1,1
2.500,1,1,1,1
2.550,0,0,0,0
2.600,0,0,0,0
2.650,0,0,0,0
2.700,0,0,0,0
2.750,0,0,0,0
2.800,0,0,0,0
2.850,0,0,0,0
2.900,0,0,0,0
2.950,1,1,1,1
3.000,1,1,1,1
3.050,1,1,1,1
3.100,1,1,1,1
3.150,1,1,1,1
3.200,1,1,1,1
3.250,1,1,1,1
3.300,1,1,1,1
3.350,1,1,1,1
3.400,0,0,0,0
3.450,0,0,0,0
3.500,0,0,0,0
3.550,0,0,0,0
3.600,0,0,0,0
3.650,0,0,0,0
3.700,0,0,0,0
3.750,0,0,0,0
3.800,1,1,1,1
3.850,1,1,1,1
3.900,1,1,1,1
3.950,1,1,1,1
4.000,1,1,1,1
4.050,1,1,1,1
4.100,1,1,1,1
4.150,1,1,1,1
4.200,0,0,0,0
4.250,0,0,0,0
4.300,0,0,0,0
4.350,0,0,0,0
4.400,0,0,0,0
4.450,0,0,0,0
4.500,0,0,0,0
4.550,0,0,0,0
4.600,0,0,0,0
4.650,1,1,1,1
4.700,1,1,1,1
4.750,1,1,1,1
4.800,1,1,1,1
4.850,1,1,1,1
4.900,1,1,1,1
