timestamp_ms,enc0,enc1,enc2,enc3
0.000,0,1,1,0
0.050,0,1,1,0
0.100,0,1,0,0
0.150,0,1,0,0
0.200,0,1,0,1
0.250,0,1,0,1
0.300,0,1,0,1
0.350,0,1,0,1
0.400,0,1,0,1
0.450,0,0,0,1
0.500,1,0,0,1
0.550,1,0,0,1
0.600,1,0,1,1
0.650,1,0,1,0
0.700,1,0,1,0
0.750,1,0,1,0
0.800,1,0,1,0
0.850,1,0,1,0
0.900,1,0,1,0
0.950,0,1,1,0
1.000,0,1,1,0
1.050,0,1,0,0
1.100,0,1,0,1
1.150,0,1,0,1
1.200,0,1,0,1
1.250,0,1,0,1
1.300,0,1,0,1
1.350,0,1,0,1
1.400,1,0,0,1
1.450,1,0,0,1
1.500,1,0,0,1
1.550,1,0,1,0
1.600,1,0,1,0
1.650,1,0,1,0
1.700,1,0,1,0
1.750,1,0,1,0
1.800,1,0,1,0
1.850,1,0,1,0
1.900,0,1,1,0
1.950,0,1,1,0
2.000,0,1,0,1
2.050,0,1,0,1
2.100,0,1,0,1
2.150,0,1,0,1
2.200,0,1,0,1
2.250,0,1,0,1
2.300,0,1,0,1
2.350,1,0,0,1
2.400,1,0,0,1
2.450,1,0,0,0
2.500,1,0,1,0
2.550,1,0,1,0
2.600,1,0,1,0
2.650,1,0,1,0
2.700,1,0,1,0
2.750,1,0,1,0
2.800,0,1,1,0
2.850,0,1,1,0
2.900,0,1,1,0
2.950,0,1,0,1
3.000,0,1,0,1
3.050,0,1,0,1
3.100,0,1,0,1
3.150,0,1,0,1
3.200,0,1,0,1
3.250,0,0,0,1
3.300,1,0,0,1
3.350,1,0,0,1
3.400,1,0,0,0
3.450,1,0,1,0
3.500,1,0,1,0
3.550,1,0,1,0
3.600,1,0,1,0
3.650,1,0,1,0
3.700,1,0,1,0
3.750,0,1,1,0
3.800,0,1,1,0
3.850,0,1,1,1
3.900,0,1,0,1
3.950,0,1,0,1
4.000,0,1,0,1
4.050,0,1,0,1
4.100,0,1,0,1
4.150,0,1,0,1
4.200,0,0,0,1
4.250,1,0,0,1
4.300,1,0,0,0
4.350,1,0,0,0
4.400,1,0,1,0
4.450,1,0,1,0
4.500,1,0,1,0
4.550,1,0,1,0
4.600,1,0,1,0
4.650,1,0,1,0
4.700,0,1,1,0
4.750,0,1,1,1
4.800,0,1,1,1
4.850,0,1,0,1
4.900,0,1,0,1
4.950,0,1,0,1
5.000,0,1,0,1
5.050,0,1,0,1
5.100,0,1,0,1
5.150,0,0,0,1
5.200,1,0,0,1
5.250,1,0,0,0
5.300,1,0,0,0
5.350,1,0,1,0
5.400,1,0,1,0
5.450,1,0,1,0
5.500,1,0,1,0
5.550,1,0,1,0
5.600,1,0,1,0
5.650,0,1,1,0
5.700,0,1,1,1
5.750,0,1,1,1
5.800,0,1,0,1
5.850,0,1,0,1
5.900,0,1,0,1
5.950,0,1,0,1
6.000,0,1,0,1
6.050,0,1,0,1
6.100,0,0,0,1
6.150,1,0,0,0
6.200,1,0,0,0
6.250,1,0,0,0
6.300,1,0,1,0
6.350,1,0,1,0
6.400,1,0,1,0
6.450,1,0,1,0
6.500,1,0,1,0
6.550,1,1,1,0
6.600,0,1,1,1
6.650,0,1,1,1
6.700,0,1,1,1
6.750,0,1,0,1
6.800,0,1,0,1
6.850,0,1,0,1
6.900,0,1,0,1
6.950,0,1,0,1
7.000,0,1,0,1
7.050,0,0,0,0
7.100,1,0,0,0
7.150,1,0,0,0
7.200,1,0,0,0
7.250,1,0,1,0
7.300,1,0,1,0
